family,condition,repetition,status,run_id,capacity_ratio,group_duration_ms,required_tracks,viewport_completion_latency_median_ms,viewport_deadline_miss_ratio,cross_track_skew_median_ms,control_ack_median_ms,relay_apply_median_ms,scheduler_effect_median_ms,mixed_epoch_window_ms,old_viewport_bytes_after_switch,overfetch_ratio
G1,capacity_1,1,NOT_RUN,,1.0,500,8,,,,,,,,,
G1,capacity_1,2,NOT_RUN,,1.0,500,8,,,,,,,,,
G1,capacity_1,3,NOT_RUN,,1.0,500,8,,,,,,,,,
G1,capacity_1,4,NOT_RUN,,1.0,500,8,,,,,,,,,
G1,capacity_1,5,NOT_RUN,,1.0,500,8,,,,,,,,,
G1,capacity_0.8,1,NOT_RUN,,0.8,500,8,,,,,,,,,
G1,capacity_0.8,2,NOT_RUN,,0.8,500,8,,,,,,,,,
G1,capacity_0.8,3,NOT_RUN,,0.8,500,8,,,,,,,,,
G1,capacity_0.8,4,NOT_RUN,,0.8,500,8,,,,,,,,,
G1,capacity_0.8,5,NOT_RUN,,0.8,500,8,,,,,,,,,
G1,capacity_0.6,1,NOT_RUN,,0.6,500,8,,,,,,,,,
G1,capacity_0.6,2,NOT_RUN,,0.6,500,8,,,,,,,,,
G1,capacity_0.6,3,NOT_RUN,,0.6,500,8,,,,,,,,,
G1,capacity_0.6,4,NOT_RUN,,0.6,500,8,,,,,,,,,
G1,capacity_0.6,5,NOT_RUN,,0.6,500,8,,,,,,,,,
G1,set_size_4,1,NOT_RUN,,0.8,500,4,,,,,,,,,
G1,set_size_4,2,NOT_RUN,,0.8,500,4,,,,,,,,,
G1,set_size_4,3,NOT_RUN,,0.8,500,4,,,,,,,,,
G1,set_size_8,1,NOT_RUN,,0.8,500,8,,,,,,,,,
G1,set_size_8,2,NOT_RUN,,0.8,500,8,,,,,,,,,
G1,set_size_8,3,NOT_RUN,,0.8,500,8,,,,,,,,,
G1,set_size_12,1,NOT_RUN,,0.8,500,12,,,,,,,,,
G1,set_size_12,2,NOT_RUN,,0.8,500,12,,,,,,,,,
G1,set_size_12,3,NOT_RUN,,0.8,500,12,,,,,,,,,
G2,overlap_0,1,NOT_RUN,,0.8,500,8,,,,,,,,,
G2,overlap_0,2,NOT_RUN,,0.8,500,8,,,,,,,,,
G2,overlap_0,3,NOT_RUN,,0.8,500,8,,,,,,,,,
G2,overlap_50,1,NOT_RUN,,0.8,500,8,,,,,,,,,
G2,overlap_50,2,NOT_RUN,,0.8,500,8,,,,,,,,,
G2,overlap_50,3,NOT_RUN,,0.8,500,8,,,,,,,,,
G2,frequency_2hz,1,NOT_RUN,,0.8,500,8,,,,,,,,,
G2,frequency_2hz,2,NOT_RUN,,0.8,500,8,,,,,,,,,
G2,frequency_2hz,3,NOT_RUN,,0.8,500,8,,,,,,,,,
G2,frequency_5hz,1,NOT_RUN,,0.8,500,8,,,,,,,,,
G2,frequency_5hz,2,NOT_RUN,,0.8,500,8,,,,,,,,,
G2,frequency_5hz,3,NOT_RUN,,0.8,500,8,,,,,,,,,
G2,frequency_10hz,1,NOT_RUN,,0.8,500,8,,,,,,,,,
G2,frequency_10hz,2,NOT_RUN,,0.8,500,8,,,,,,,,,
G2,frequency_10hz,3,NOT_RUN,,0.8,500,8,,,,,,,,,
BASELINES,native_1000,1,NOT_RUN,,0.8,1000,8,,,,,,,,,
BASELINES,native_1000,2,NOT_RUN,,0.8,1000,8,,,,,,,,,
BASELINES,native_1000,3,NOT_RUN,,0.8,1000,8,,,,,,,,,
BASELINES,short_500,1,NOT_RUN,,0.8,500,8,,,,,,,,,
BASELINES,short_500,2,NOT_RUN,,0.8,500,8,,,,,,,,,
BASELINES,short_500,3,NOT_RUN,,0.8,500,8,,,,,,,,,
BASELINES,short_250,1,NOT_RUN,,0.8,250,8,,,,,,,,,
BASELINES,short_250,2,NOT_RUN,,0.8,250,8,,,,,,,,,
BASELINES,short_250,3,NOT_RUN,,0.8,250,8,,,,,,,,,
BASELINES,guard_1000,1,NOT_RUN,,0.8,1000,8,,,,,,,,,
BASELINES,guard_1000,2,NOT_RUN,,0.8,1000,8,,,,,,,,,
BASELINES,guard_1000,3,NOT_RUN,,0.8,1000,8,,,,,,,,,
BASELINES,short_guard_500,1,NOT_RUN,,0.8,500,8,,,,,,,,,
BASELINES,short_guard_500,2,NOT_RUN,,0.8,500,8,,,,,,,,,
BASELINES,short_guard_500,3,NOT_RUN,,0.8,500,8,,,,,,,,,
