mode,users,overlap,user_id,t_first_object_ns,t_first_group_ns,viewport_activation_latency_ns,pre_demand_upstream_payload_bytes,publisher_to_relay_payload_bytes,publisher_to_relay_wire_bytes,relay_to_users_payload_bytes,relay_to_users_wire_bytes,upstream_amplification
forward_f1,1,not_applicable,user_0,,,,,750000,779669,250000,262837,
forward_f1,1,not_applicable,user_0,,,,,750000,779816,250000,262753,
forward_f1,1,not_applicable,user_0,,,,,750000,779279,250000,262753,
forward_f0,1,not_applicable,user_0,,,,,750000,780345,0,4220,
forward_f0,1,not_applicable,user_0,,,,,750000,779255,0,4263,
forward_f0,1,not_applicable,user_0,,,,,750000,780107,0,4265,
forward_0_to_1,1,not_applicable,user_0,58176353,582387124,,250000,750000,779396,237500,249585,1.558792
forward_0_to_1,1,not_applicable,user_0,58297379,581455852,,250000,750000,778985,237500,249627,1.55797
forward_0_to_1,1,not_applicable,user_0,58993526,582707473,,250000,750000,779815,237500,249707,1.55963
forward_1_to_0,1,not_applicable,user_0,,,,187500,750000,778702,225000,236980,
forward_1_to_0,1,not_applicable,user_0,,,,187500,750000,778843,237500,249822,
forward_1_to_0,1,not_applicable,user_0,,,,187500,750000,778778,187500,198261,
fanout,2,50%,user_a,42503320,144035204,144035204,1662500,8000000,8265007,1687500,1748759,1.8366682222222221
fanout,2,50%,user_b,42130552,175876555,175876555,1662500,8000000,8265007,1687500,1748759,1.8366682222222221
fanout,2,50%,user_a,42469238,144757487,144757487,1512500,8000000,8268170,1750000,1813241,1.837371111111111
fanout,2,50%,user_b,42756907,208499272,208499272,1512500,8000000,8268170,1750000,1813241,1.837371111111111
fanout,2,50%,user_a,41200956,213204697,213204697,1550000,8000000,8271069,1962500,2030761,1.8380153333333333
fanout,2,50%,user_b,42554416,219416689,219416689,1550000,8000000,8271069,1962500,2030761,1.8380153333333333
reactive,1,not_applicable,user_0,42766243,164857026,,1712500,8000000,8282542,812500,842928,2.7608473333333334
reactive,1,not_applicable,user_0,543074426,717623791,,1675000,8000000,8278509,750000,777854,2.759503
reactive,1,not_applicable,user_0,42588751,164084662,,1712500,8000000,8274280,812500,843246,2.7580933333333335
