test_id,subtest,run_id,valid,protocol_draft,transport,relay,track_count,user_count,offered_load_mbps,capacity_mbps,rtt_ms,mode,primary_metric_name,primary_metric_value,secondary_metric_name,secondary_metric_value,status,limitation
P1,Series_A,run_20260915T165654Z_b1c69629,true,18,raw_quic,moqx@502b6b8f,1,1,24,,,tracks,aggregate_goodput_bps,22657054.473235678,p95_completion_latency_ms,73.36889515,COMPLETE,repetition_1_of_1_unshaped_loopback
P1,Series_A,run_20260915T165751Z_8504fe17,true,18,raw_quic,moqx@502b6b8f,2,1,24,,,tracks,aggregate_goodput_bps,22657064.665933196,p95_skew_ms,6.973447099999998,COMPLETE,repetition_1_of_1_unshaped_loopback
P1,Series_A,run_20260915T165844Z_292bc7d6,true,18,raw_quic,moqx@502b6b8f,4,1,24,,,tracks,aggregate_goodput_bps,22654069.31304429,p95_skew_ms,16.852976050000002,COMPLETE,repetition_1_of_1_unshaped_loopback
P1,Series_A,run_20260915T165936Z_7bf1811d,true,18,raw_quic,moqx@502b6b8f,8,1,24,,,tracks,aggregate_goodput_bps,22653637.900331274,p95_skew_ms,17.67596475,COMPLETE,repetition_1_of_1_unshaped_loopback
P1,Series_A,run_20260915T170035Z_10ef35a0,true,18,raw_quic,moqx@502b6b8f,16,1,24,,,tracks,aggregate_goodput_bps,22658072.876407307,p95_skew_ms,20.5561547,COMPLETE,repetition_1_of_1_unshaped_loopback
P1,Series_A,run_20260915T170520Z_00ca2719,true,18,raw_quic,moqx@502b6b8f,24,1,24,,,tracks,aggregate_goodput_bps,22624746.905542772,p95_skew_ms,34.966752949999965,COMPLETE,repetition_1_of_1_unshaped_loopback
P1,harness_validation,run_20260915T035842Z_66b1dd01,false,18,not_moq,not_used,,,,,synthetic_plan,primary_metric,unsupported,secondary_metric,unsupported,COMPLETED_SYNTHETIC,harness_validation_not_moq
P1,native_smoke,run_20260915T165233Z_13673576,true,18,raw_quic,moqx@502b6b8f,1,1,1,,,loopback_smoke,received_objects,10,expected_objects,10,NATIVE_SEMANTIC_SMOKE,excluded_from_research_measurement_count
P1,native_smoke,run_20260915T165508Z_5c231a94,true,18,raw_quic,moqx@502b6b8f,4,1,4,,,loopback_smoke,received_objects,40,expected_objects,40,NATIVE_SEMANTIC_SMOKE,excluded_from_research_measurement_count
P1,invalid_measurement,run_20260915T165541Z_d2e68928,false,18,raw_quic,moqx@502b6b8f,1,1,24,,,tracks,aggregate_goodput_bps,22651538.103998866,group_completion_ratio,1,COMPLETED_INVALID,relay_log_not_saved
P1,native_regression_smoke,run_20260918T144558Z_59eb51a4,true,18,raw_quic,moqx@502b6b8f,1,1,1,,,loopback_smoke,aggregate_goodput_bps,831376.9125877315,group_completion_ratio,1,NATIVE_SEMANTIC_SMOKE,excluded_from_research_measurement_count
P1,incomplete,run_20260915T165118Z_0bdbd5f8,false,18,raw_quic,moqx@502b6b8f,,,,,,unknown,primary_metric,not_run,secondary_metric,not_run,INCOMPLETE_NO_SUMMARY,not_finalized
P1,incomplete,run_20260915T165158Z_29155eb2,false,18,raw_quic,moqx@502b6b8f,24,1,24,,,tracks,primary_metric,not_run,secondary_metric,not_run,INCOMPLETE_NO_SUMMARY,stream_limit_attempt
P1,incomplete,run_20260915T165337Z_2789bd6e,false,18,raw_quic,moqx@502b6b8f,,,,,,unknown,primary_metric,not_run,secondary_metric,not_run,INCOMPLETE_NO_SUMMARY,not_finalized
P1,incomplete,run_20260915T170133Z_17130da9,false,18,raw_quic,moqx@502b6b8f,,,,,,unknown,primary_metric,not_run,secondary_metric,not_run,INCOMPLETE_NO_SUMMARY,not_finalized
P2,static_equal,run_20260916T030328Z_40620409,true,18,raw_quic,moqx@502b6b8f,2,1,24,19.2,5,equal,aggregate_goodput_bps,14455212.234596387,integrity_received_over_expected,480/480,COMPLETE_CORE,none
P2,static_a_high,run_20260916T030458Z_e5f3236b,true,18,raw_quic,moqx@502b6b8f,2,1,24,19.2,5,a_high,track_a_median_latency_ms,56.5048205,track_b_median_latency_ms,4596.838864,COMPLETE_CORE,none
P2,static_b_high,run_20260916T030537Z_840a7a11,true,18,raw_quic,moqx@502b6b8f,2,1,24,19.2,5,b_high,track_b_median_latency_ms,53.944717,track_a_median_latency_ms,4597.237526,COMPLETE_CORE,duplicate_valid_b_high_configuration
P2,static_b_high,run_20260916T030726Z_4e3c836e,true,18,raw_quic,moqx@502b6b8f,2,1,24,19.2,5,b_high,track_b_median_latency_ms,56.780414,track_a_median_latency_ms,4624.4206395,COMPLETE_CORE,none
